Docent ,Score
De leerling bijt zich vast in schooltaken ,4
"Wanneer de leerling iets niet begrijpt, dan gaat hij/zij eerst zelf ermee aan de slag vordat er hulp wordt gevraagd",5
Zelf als taken moeilijk zijn zet de leerling door tot het volbrengen van de taak,3
"Zelfs als taken niet leuk zijn, zet de leerling door tot het volbrengen van de taak",3
De leerling zet zich in om zichzelf te verbeteren in taken,5
Schooltaken worden op een juiste manier afgerond,5
De leerling checkt eerst zijn of haar werk zelf voordat hij/zij het afrondt,5
De leerling let op in de les ,4
De leerling doet zijn/haar best op school,4
De leerling doet zijn of haar best om te begrijpen waar hij/zij mee bezig is,3
De leerling is in de klas nuttig bezig met schooltaken,3
De leerling heeft de gedachten in de klas bij school,4
De leerling kan georganiseerd te werk gaan (e.g. planning van taken),5
De leerling begint optijd met zijn/haar taken ,4
De leerling heeft huiswerk optijd af,2
De leerling heeft taken optijd af,5
De leerling ziet school als nuttig,5
De leerling heeft plezier in school,4
De leerling vind het belangrijk om het uiterste eruit te halen,5
De leerling vind de schoolvakken interessant,5
De leerling is leergierig ,5
De leerling vind het behalen van goede cijfers belangrijk,4
De leerling ziet het middelbare school niveau waar hij/zij straks heen gaat als iets belangrijks,5
